-182.899, 77.703, 1.978,  1.765
-182.874, 77.644, 1.925,  1.798
-182.850, 77.586, 1.870,  1.831
-182.827, 77.530, 1.813,  1.864
-182.804, 77.476, 1.756,  1.897
-182.783, 77.424, 1.672,  1.930
-182.762, 77.375, 1.614,  1.963
-182.741, 77.327, 1.574,  1.996
-182.721, 77.279, 1.558,  2.029
-182.700, 77.231, 1.571,  2.062
-182.679, 77.181, 1.619,  2.095
-182.657, 77.128, 1.713,  2.128
-182.635, 77.071, 1.859,  2.161
-182.611, 77.008, 2.007,  2.194
-182.584, 76.942, 2.128,  2.227
-182.555, 76.874, 2.201,  2.260
-182.526, 76.805, 2.234,  2.293
-182.498, 76.736, 2.240,  2.326
-182.470, 76.667, 2.226,  2.359
-182.444, 76.599, 2.197,  2.392
-182.418, 76.532, 2.158,  2.425
-182.393, 76.466, 2.110,  2.458
-182.369, 76.402, 2.058,  2.491
-182.346, 76.340, 2.002,  2.524
-182.324, 76.279, 1.943,  2.557
-182.303, 76.220, 1.883,  2.590
-182.283, 76.164, 1.796,  2.623
-182.263, 76.109, 1.738,  2.656
-182.245, 76.056, 1.699,  2.689
-182.226, 76.003, 1.684,  2.722
-182.205, 75.951, 1.695,  2.755
-182.182, 75.898, 1.739,  2.788
-182.157, 75.842, 1.835,  2.821
-182.131, 75.781, 1.976,  2.854
-182.105, 75.716, 2.115,  2.887
-182.079, 75.646, 2.233,  2.920
-182.053, 75.573, 2.303,  2.953
-182.028, 75.499, 2.330,  2.986
-182.004, 75.425, 2.330,  3.019
-181.981, 75.352, 2.310,  3.052
-181.959, 75.279, 2.276,  3.085
-181.938, 75.208, 2.233,  3.118
-181.918, 75.138, 2.181,  3.151
-181.899, 75.070, 2.125,  3.184
-181.880, 75.003, 2.066,  3.217
-181.863, 74.939, 2.005,  3.250
-181.844, 74.878, 1.923,  3.283
-181.824, 74.819, 1.861,  3.316
-181.805, 74.761, 1.823,  3.349
-181.786, 74.704, 1.815,  3.382
-181.768, 74.645, 1.838,  3.415
-181.750, 74.585, 1.899,  3.448
-181.732, 74.521, 1.998,  3.481
-181.713, 74.453, 2.118,  3.514
-181.695, 74.380, 2.241,  3.547
-181.676, 74.304, 2.347,  3.580
-181.658, 74.225, 2.410,  3.613
